a,t_EdS,a_avera
7.813130617141723633e-01,4.771074652671813965e-01,8.650259375572204590e-01
7.909089922904968262e-01,4.856144487857818604e-01,8.777978420257568359e-01
8.005049824714660645e-01,4.941742420196533203e-01,8.906381130218505859e-01
8.101009726524353027e-01,5.027847290039062500e-01,9.035456776618957520e-01
8.196969032287597656e-01,5.114467740058898926e-01,9.165211319923400879e-01
8.292928934097290039e-01,5.201596021652221680e-01,9.295625686645507812e-01
8.388888239860534668e-01,5.289229154586791992e-01,9.426724314689636230e-01
8.484847545623779297e-01,5.377360582351684570e-01,9.558491110801696777e-01
8.580807447433471680e-01,5.465998053550720215e-01,9.690926074981689453e-01
8.676766753196716309e-01,5.555130243301391602e-01,9.824025630950927734e-01
8.772726655006408691e-01,5.644756555557250977e-01,9.957785606384277344e-01
8.868686556816101074e-01,5.734880566596984863e-01,1.009220004081726074e+00
8.964645862579345703e-01,5.825481414794921875e-01,1.022726058959960938e+00
9.060605168342590332e-01,5.916573405265808105e-01,1.036296844482421875e+00
9.156565070152282715e-01,6.008149981498718262e-01,1.049931406974792480e+00
9.252524375915527344e-01,6.100208163261413574e-01,1.063629388809204102e+00
9.348484277725219727e-01,6.192745566368103027e-01,1.077391266822814941e+00
9.444444179534912109e-01,6.285755634307861328e-01,1.091216564178466797e+00
9.540403485298156738e-01,6.379242539405822754e-01,1.105103850364685059e+00
9.636362791061401367e-01,6.473200321197509766e-01,1.119058489799499512e+00
9.732322692871093750e-01,6.567625999450683594e-01,1.133075356483459473e+00
9.828281998634338379e-01,6.662523746490478516e-01,1.147156119346618652e+00
9.924241900444030762e-01,6.757878065109252930e-01,1.161298394203186035e+00
1.002020120620727539e+00,6.853697896003723145e-01,1.175510644912719727e+00
1.011615991592407227e+00,6.949976086616516113e-01,1.189784288406372070e+00
1.021212100982666016e+00,7.046715021133422852e-01,1.204123973846435547e+00
1.030808091163635254e+00,7.143908739089965820e-01,1.218526363372802734e+00
1.040403962135314941e+00,7.241554260253906250e-01,1.232994198799133301e+00
1.049999952316284180e+00,7.339654564857482910e-01,1.247527122497558594e+00
